RotationId;VesselSize;Distance;NoVessels;TotalCost;PortCallCost;SailingFuelCost;IdleFuelCost;CanalCost;TCCost
0;7500;21106;10;8499258;212493;2348013;18000;2070752;3850000
1;4200;11440;6;2335918;70815;781783;13320;0;1470000
2;4200;9940;5;2051835;51793;761722;13320;0;1225000
3;4200;22193;12;6398138;509774;1629070;48840;1266014;2940000
4;4200;12900;7;4356927;378320;966513;31080;1266014;1715000
5;4200;19550;10;5376927;134642;1495191;31080;1266014;2450000
6;4200;21924;11;5763903;214582;1570547;17760;1266014;2695000
7;4200;26483;14;7098451;298534;2041743;57720;1266014;3430000
8;4200;13284;7;2920992;172451;1006901;26640;0;1715000
9;2400;8312;4;1895585;47982;558863;9540;691200;588000
10;2400;9630;5;1648977;249017;645880;19080;0;735000
11;2400;16447;8;2245508;96632;963336;9540;0;1176000
12;2400;11334;6;1553368;79605;582223;9540;0;882000
13;2400;8428;4;1179406;46409;538637;6360;0;588000
14;2400;4503;3;832270;125363;246827;19080;0;441000
15;2400;16320;8;2317628;147989;977739;12720;0;1176000
16;2400;5636;3;1011837;67808;483949;19080;0;441000
17;2400;32485;18;4668091;282112;1692279;47700;0;2646000
18;2400;802;1;243070;39710;40460;6360;0;147000
19;2400;14952;8;2107991;134415;781676;15900;0;1176000
20;2400;14490;9;2930568;826053;740175;41340;0;1323000
21;2400;10680;6;2132183;494809;723574;31800;0;882000
23;2400;24890;13;3893477;217499;1329185;22260;413533;1911000
24;2400;31629;17;5097201;255359;1619842;31800;691200;2499000
25;2400;11026;6;1894597;324777;665560;22260;0;882000
26;2400;2244;2;471608;42140;113208;12720;0;294000
27;2400;978;1;324684;115625;49339;6360;0;147000
28;2400;5913;3;1065783;117689;491194;15900;0;441000
30;1200;12822;7;1029910;53487;425423;12000;0;539000
31;1200;3166;2;282289;16088;102601;4800;0;154000
32;1200;12782;7;1009703;37249;421454;12000;0;539000
33;1200;5695;3;530440;69502;222738;7200;0;231000
34;1200;23054;12;1783299;80214;767085;12000;0;924000
35;1200;1148;1;182451;58648;37203;4800;0;77000
36;1200;8836;4;1273497;27533;398730;4800;534434;308000
37;1200;11172;6;1090355;166805;444750;16800;0;462000
40;1200;3474;2;452594;84356;202238;12000;0;154000
41;1200;1436;1;155456;24719;46537;4800;0;77000
43;1200;11986;6;1003442;65919;465923;9600;0;462000
44;1200;614;1;183845;74947;19898;4800;0;77000
45;1200;3530;2;337707;59558;119349;4800;0;154000
47;800;2376;2;197004;26201;51303;3000;0;112000
48;800;5174;3;357288;42457;143831;3000;0;168000
49;800;6350;4;425693;56704;141989;3000;0;224000
50;800;8405;5;635512;100696;247316;7500;0;280000
51;800;8392;6;585019;43864;191655;12000;0;336000
52;800;1548;1;191108;43698;86910;4500;0;56000
53;800;2622;2;314025;139410;56615;4500;0;112000
54;800;16148;10;1038023;55390;410633;12000;0;560000
55;800;12042;9;996631;124510;338121;28500;0;504000
56;800;9950;6;719614;88179;284935;9000;0;336000
57;800;5057;3;407891;66141;167750;6000;0;168000
58;800;764;1;115760;35186;18574;6000;0;56000
59;800;22716;15;1626290;221300;542490;22500;0;840000
60;800;3264;2;363288;82855;160933;7500;0;112000
61;800;3016;2;228816;42398;71418;3000;0;112000
63;800;1860;1;192446;36957;96489;3000;0;56000
64;800;1648;1;161322;35208;67114;3000;0;56000
65;800;782;1;153504;74619;16885;3000;0;56000
66;800;4840;3;406083;85015;147068;6000;0;168000
67;450;1899;2;217892;86161;51651;7200;0;70000
68;450;4136;3;293672;31545;148487;8640;0;105000
69;450;3428;3;231367;23049;93238;7200;0;105000
70;450;3204;2;202476;21740;107856;2880;0;70000
72;450;1062;1;80433;12228;28885;2880;0;35000
73;450;10862;8;1132138;133482;312576;17280;388800;280000
74;450;1842;2;196213;66033;50100;5760;0;70000
75;450;3190;2;208283;28955;106448;2880;0;70000
76;450;4616;4;351360;72850;125550;11520;0;140000
77;450;4936;3;392002;57974;221828;7200;0;105000
79;450;8894;6;567622;74904;271198;10080;0;210000
80;450;2208;2;227915;90660;60055;2880;0;70000
